title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,keywords
Indiana Jones and the Kingdom of the Crystal Skull,5.998,7629,2008-05-21,786636033,122,False,185000000,en,Indiana Jones and the Kingdom of the Crystal Skull,47.907,"Adventure, Action","Paramount, Lucasfilm Ltd.",United States of America,"English, German, Russian","treasure, mexico city, mexico, saving the world, whip, leather jacket, riddle, maya civilization, peru, machinegun, treasure hunt, alien, nuclear explosion, refrigerator, archaeologist, adventurer, area 51, archeology, 1950s, father son relationship"
Luca,7.865,7625,2021-06-17,49750471,95,False,200000000,en,Luca,60.762,"Animation, Comedy, Fantasy, Adventure, Family","Pixar, Walt Disney Pictures",United States of America,"English, Italian","friendship, monster, italy, coming of age, friends, bromance, sea monster, vespa, aftercreditsstinger, seaside town, 1950s, pasta, water, italian riviera, pesto"
Fast Five,7.251,7581,2011-04-20,626137675,130,False,125000000,en,Fast Five,8.589,"Action, Thriller, Crime","Original Film, Universal Pictures, One Race",United States of America,"English, Spanish, Portuguese, Italian","car race, freedom, fbi, car crash, prison escape, heist, escaped convict, street race, money, organized crime, fugitive, on the run, police chase, duringcreditsstinger"
Transformers: Age of Extinction,5.92,7581,2014-06-25,1104054072,165,False,210000000,en,Transformers: Age of Extinction,57.581,"Science Fiction, Action, Adventure","di Bonaventura Pictures, Tom DeSanto/Don Murphy Production, Ian Bryce Productions, Paramount",United States of America,English,"music video, sequel, alien, based on toy, giant robot, robot, transformers"
Ghost in the Shell,6.066,7581,2017-03-29,169801921,107,False,110000000,en,Ghost in the Shell,32.851,"Science Fiction, Drama, Action","Weying Galaxy Entertainment, Paramount, Shanghai Film Group, Reliance Entertainment, Grosvenor Park Productions, Steven Paul Production, Huahua Media, Seaside Entertainment, DreamWorks Pictures, Arad Productions","China, Hong Kong, India, United States of America","Japanese, English","strong woman, hacker, philosophy, cyborg, dystopia, investigation, female protagonist, cyberpunk, terrorism, based on manga, evolution, network, based on anime, prosthesis, anxious"
Real Steel,6.981,7571,2011-09-28,299268508,127,False,110000000,en,Real Steel,88.181,"Action, Science Fiction, Drama","Touchstone Pictures, ImageMovers, Angry Films, Kontsept Film Company, Revolution Sun Studios, DreamWorks Pictures, Reliance Entertainment, 21 Laps Entertainment","United States of America, India",English,"future, sports, parent child relationship, fight, robot, prizefight, father son reunion, robot fighting"
Bad Boys for Life,7.139,7570,2020-01-15,426505244,124,False,90000000,en,Bad Boys for Life,46.619,"Thriller, Action, Crime","Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment",United States of America,"English, Spanish","miami, florida, detective, women's prison, sequel, prison escape, murder, drug cartel, police chase, police detective, buddy cop, buddy film, action hero, past relationship, méxico"
Top Gun: Maverick,8.26,7546,2022-05-24,1488732821,131,False,170000000,en,Top Gun: Maverick,126.291,"Action, Drama","Skydance, Don Simpson/Jerry Bruckheimer Films, Paramount",United States of America,English,"fighter pilot, u.s. navy, sequel, nuclear weapons, military"
Baywatch,6.092,7545,2017-05-25,177856751,116,False,69000000,en,Baywatch,45.123,"Comedy, Action, Crime","Uncharted, Paramount, Flynn Picture Company, Fremantle Productions, Seven Bucks Productions, Skydance, The Montecito Picture Company",United States of America,English,"drug dealer, sea, beach, yacht, life-saver, lifeguard, rookie, vigilantism"
Sin City,7.4,7541,2005-04-01,158733820,124,False,40000000,en,Sin City,42.369,"Thriller, Action, Crime","Dimension Films, Troublemaker Studios, Miramax",United States of America,English,"dystopia, based on comic, anthology, held captive, based on graphic novel, mysterious killer, doing the right thing, silhouette, neo-noir"
The Help,8.202,7538,2011-08-09,216639112,146,False,25000000,en,The Help,52.139,Drama,"1492 Pictures, Harbinger Pictures, Touchstone Pictures",United States of America,English,"based on novel or book, mississippi river, exploitation, racial segregation, racism, writer, maid, moral courage, ressentiment, southern belle, racial issues, 1960s, newspaper columnist"
Mission: Impossible - Fallout,7.414,7537,2018-07-13,791657398,147,False,178000000,en,Mission: Impossible - Fallout,61.258,"Action, Adventure","Paramount, Bad Robot, Skydance, TC Productions",United States of America,"English, French","race against time, london, england, helicopter, paris, france, plutonium, gun, spy, countdown, norway, sequel, motorcycle, bomb remote detonator, handgun, hand to hand combat, kashmir"
Fifty Shades Freed,6.705,7511,2018-01-17,368307760,105,False,55000000,en,Fifty Shades Freed,93.385,"Drama, Romance","Universal Pictures, Perfect World Pictures",United States of America,English,"based on novel or book, eroticism, sequel, bdsm"
Snow White and the Huntsman,5.982,7503,2012-05-30,396600000,127,False,170000000,en,Snow White and the Huntsman,34.976,"Adventure, Fantasy, Drama","Universal Pictures, Roth Films",United States of America,English,"magic, immortality, fairy tale, queen, imprisonment, forest, deception, eternal youth, evil queen, evil stepmother, based on fairy tale, sorceress, live action remake"
Eternals,6.927,7493,2021-11-03,402064899,156,False,200000000,en,Eternals,60.521,"Science Fiction, Action, Adventure",Marvel Studios,"Canada, United States of America","Arabic, English, Hindi, Latin, Spanish","superhero, supernatural, based on comic, alien, super power, aftercreditsstinger, marvel cinematic universe (mcu), sign languages, ancient, god-like"
Apocalypse Now,8.282,7485,1979-08-15,150000000,147,False,31500000,en,Apocalypse Now,37.715,"Drama, War","United Artists, American Zoetrope",United States of America,"Khmer, English, French, Vietnamese","guerrilla warfare, epic, vietnam war, journalist, mission, vietnam, vietcong, cia, cambodia, army, drug abuse, based on novel or book, secret mission, insanity, surrealism, tribe, green beret, jungle, descent into madness, brutality, riverboat, military, anti war"
The Breakfast Club,7.751,7478,1985-02-15,51525171,98,False,1000000,en,The Breakfast Club,27.667,"Comedy, Drama","Universal Pictures, A&M Films, Channel Productions",United States of America,English,"high school, coming of age, teen angst, detention, teenage rebellion, stereotype, 1980s, one location, teenager"
22 Jump Street,6.842,7460,2014-06-05,331333876,112,False,50000000,en,22 Jump Street,23.367,"Crime, Comedy, Action","Columbia Pictures, Original Film, MRC, LStar Capital, Metro-Goldwyn-Mayer, Stephen J. Cannell Productions, 75 Year Plan Productions, Storyville Films, JHF Productions",United States of America,English,"high school, undercover cop, buddy cop, buddy comedy, aftercreditsstinger, duringcreditsstinger"
Sing,7.114,7458,2016-11-23,634151679,108,False,75000000,en,Sing,45.871,"Animation, Comedy, Family, Music","Illumination, Universal Pictures, Fuji Television Network, dentsu",United States of America,English,"anthropomorphism, singing, singing competition, illumination"
Chappie,6.776,7438,2015-03-04,104399548,120,False,49000000,en,Chappie,34.709,"Crime, Action, Science Fiction","Columbia Pictures, MRC, LStar Capital, Simon Kinberg Productions, Genre Films, Alpha Core, Ollin Studio, Sony Pictures","United States of America, Mexico, South Africa",English,"future, android, artificial intelligence (a.i.), dystopia, johannesburg south africa, robot, robot cop"
The Day After Tomorrow,6.509,7436,2004-05-26,552639571,124,False,125000000,en,The Day After Tomorrow,30.132,"Action, Adventure, Science Fiction, Thriller","The Mark Gordon Company, Lions Gate Films, Centropolis Entertainment, 20th Century Fox",United States of America,"English, Japanese, French, Arabic, Spanish","government, saving the world, cataclysm, library, climate, climate change, greenhouse effect, tornado, twister, hurricane, hail, temperature drop, ice age, polar zone, meteorology, gulfstream, barrier ice, ice melting, third world, exodus, evacuation, natural disaster, disaster, snow, los angeles, california, antarctica, scientist, cell phone, environmental, doomsday, disaster movie, helicopter crash"
The Simpsons Movie,6.999,7430,2007-07-25,527068851,87,False,75000000,en,The Simpsons Movie,59.717,"Animation, Comedy, Family","Gracie Films, 20th Century Fox",United States of America,English,"garbage, pollution, quarantine, environmental protection agency, parent child relationship, dysfunctional family, dysfunctional marriage, ecology, first love, duringcreditsstinger, based on tv series, lighthearted"
Wonder,8.155,7421,2017-11-13,305937718,113,False,20000000,en,Wonder,40.233,"Drama, Family","Lionsgate, Participant, Walden Media, Mandeville Films",United States of America,English,"exclusion, bullying, coney island, prejudice, school, based on children's book, family, physical disability, treacher collins syndrome"
Pride & Prejudice,8.083,7394,2005-09-16,121616555,127,False,28000000,en,Pride & Prejudice,49.413,"Drama, Romance","Focus Features, Universal Pictures, StudioCanal, Working Title Films, Scion Films","France, United Kingdom, United States of America",English,"based on novel or book, england, bachelor, family relationships, suitor, prejudice, period drama, pride, 18th century, opposites attract, gentleman, georgian or regency era, 1790s, sisters"
Friends with Benefits,6.648,7394,2011-07-21,149542245,109,False,35000000,en,Friends with Benefits,35.4,"Romance, Comedy","Castle Rock Entertainment, Olive Bridge Entertainment",United States of America,English,"friendship, jealousy, job interview, orgasm, love, friends, hospital, beach house, hollywood sign, job hunting, aftercreditsstinger, duringcreditsstinger"
10 Things I Hate About You,7.58,7386,1999-03-30,53478166,97,False,16000000,en,10 Things I Hate About You,36.364,"Comedy, Romance, Drama","Mad Chance, Jaret Entertainment",United States of America,"English, French","high school, deception, based on play or musical, coming of age, teen movie, shrew, valentine's day, shakespeare in modern dress, opposites attract, duringcreditsstinger, teenage romance, overprotective father"
Fantastic Four: Rise of the Silver Surfer,5.592,7381,2007-06-13,301913131,92,False,130000000,en,Fantastic Four: Rise of the Silver Surfer,30.047,"Adventure, Fantasy, Action, Thriller","1492 Pictures, Bernd Eichinger Productions, 20th Century Fox, Constantin Film, Marvel Studios, Ingenious Film Partners","Germany, United Kingdom, United States of America","English, Japanese, Arabic, Mandarin","mask, surfboard, helicopter, fire, airplane, superhero, transformation, satellite, forest, resurrection, based on comic, sequel, space, wedding, explosion, scientist, interrogation, double cross, fantastic four, military, earth in peril, superhuman strength, duringcreditsstinger, invisibility, silver surfer, forcefield, elasticity"
10 Cloverfield Lane,6.981,7377,2016-03-10,110216998,104,False,15000000,en,10 Cloverfield Lane,27.817,"Thriller, Science Fiction, Drama, Horror",Bad Robot,United States of America,English,"kidnapping, paranoia, bunker, basement, survivalist, apocalypse, car accident, captive"
Pretty Woman,7.5,7371,1990-03-23,463406268,119,False,14000000,en,Pretty Woman,42.75,"Comedy, Romance","Touchstone Pictures, Silver Screen Partners IV",United States of America,English,"hotel, friendship, prostitute, sports car, capitalism, expensive restaurant, workaholic, fire escape, los angeles, california, beverly hills, piano, bubble bath"
Assassin's Creed,5.419,7328,2016-12-21,240697856,116,False,125000000,en,Assassin's Creed,26.133,"Action, Adventure, Science Fiction","New Regency Pictures, The Kennedy/Marshall Company, Ubisoft Film & Television, DMC Film","France, United Kingdom, United States of America","English, Spanish, Portuguese","assassin, spain, assassination, chase, secret society, brotherhood, parkour, conspiracy, religion, memory, based on video game, 15th century, corporate conspiracy, genetic memory"
Focus,6.875,7321,2015-02-25,153962963,105,False,50100000,en,Focus,36.414,"Romance, Comedy, Crime","K & S Films, RatPac Entertainment, Zaftig Films, Warner Bros. Pictures, Di Novi Pictures",United States of America,English,"seduction, con man, illusion, deception, rivalry, femme fatale, con artist, illusionist"
Armageddon,6.829,7320,1998-07-01,553799566,151,False,140000000,en,Armageddon,36.635,"Action, Thriller, Science Fiction, Adventure","Touchstone Pictures, Jerry Bruckheimer Films, Valhalla Motion Pictures",United States of America,"English, Russian","daughter, race against time, space marine, moon, washington dc, usa, saving the world, cataclysm, paris, france, asteroid, self sacrifice, nasa, loss of loved one, natural disaster, u.s. air force, end of the world, space, disaster, wedding, astronaut, duringcreditsstinger, disaster movie, heroic mission, daring rescue, space centre"
